CustomerId,FirstName,LastName,Email,PhoneNum,Address,City,State,ZipCode,Country
1,Ojas,Saraf,ojas.saraf001@gmail.com,6557747376,"73/94, Subramaniam Chowk",Nadiad,Maharashtra,630231,India
2,Divyansh,Bhat,divyansh.bhat002@gmail.com,6888866985,"H.No. 74, Kanda Path",Jamnagar,Kerala,340927,India
3,Renee,Das,renee.das003@outlook.com,1598428267,"697, Khatri Path",Chandigarh,Sikkim,925654,India
4,Zara,Bhasin,zara.bhasin004@yahoo.in,0731853959,"H.No. 71, Bora Marg",Ajmer,Arunachal Pradesh,171920,India
5,Rasha,Ramaswamy,rasha.ramaswamy005@yahoo.in,9093420809,"14/146, Roy",Bhiwandi,Mizoram,621152,India
6,Jhanvi,Rajagopalan,jhanvi.rajagopalan006@yahoo.in,0475703930,"89/53, Ganesan Chowk",Ahmednagar,Telangana,420688,India
7,Sana,Shukla,sana.shukla007@gmail.com,5689367957,"H.No. 14, Yohannan Ganj",Sikar,Uttar Pradesh,460944,India
8,Anaya,Chawla,anaya.chawla008@hotmail.com,3228186603,"H.No. 30, Acharya Nagar",Sikar,Andhra Pradesh,894023,India
9,Ira,Banik,ira.banik009@gmail.com,7910858503,"33/76, Korpal Ganj",Hapur,Rajasthan,014723,India
10,Jayan,Mallick,jayan.mallick010@hotmail.com,9666034307,"09/499, Bhagat Zila",Satna,Jharkhand,619708,India
11,Jayesh,Chawla,jayesh.chawla011@rediffmail.com,9356718183,"36/43, Soman Path",Karimnagar,Himachal Pradesh,993908,India
12,Pihu,Deshmukh,pihu.deshmukh012@gmail.com,6225878542,"H.No. 421, Sami Ganj",Gulbarga,Jharkhand,328852,India
13,Purab,Basu,purab.basu013@gmail.com,7512998829,"H.No. 078, Ramesh Marg",Bhilwara,Gujarat,578030,India
14,Aayush,Zachariah,aayush.zachariah014@gmail.com,2827473278,"H.No. 964, Bhatia Nagar",Panchkula,Uttar Pradesh,234606,India
15,Oorja,Saraf,oorja.saraf015@yahoo.in,0595828262,"335, Dutta Zila",Bhiwani,Tamil Nadu,719395,India
16,Hazel,Bhat,hazel.bhat016@yahoo.in,1692872923,"H.No. 72, Ganesh Road",Tinsukia,Manipur,044939,India
17,Vardaniya,Magar,vardaniya.magar017@hotmail.com,5015649326,"135, Loke Nagar",Dewas,Arunachal Pradesh,038133,India
18,Reyansh,Karpe,reyansh.karpe018@hotmail.com,8988248154,"H.No. 64, Joshi Street",Munger,Manipur,501893,India
19,Nehmat,Dugar,nehmat.dugar019@gmail.com,7959677517,"02/786, Shankar Path",Pondicherry,Tamil Nadu,083822,India
20,Diya,Dutta,diya.dutta020@hotmail.com,7089636090,"988, Mammen Zila",Noida,Odisha,945667,India
21,Dishani,Biswas,dishani.biswas021@yahoo.in,8352359542,"H.No. 39, Swamy Path",Bhopal,Punjab,992395,India
22,Prerak,Raja,prerak.raja022@hotmail.com,5189699798,"73/73, Dani Nagar",Thoothukudi,Bihar,401529,India
23,Advika,Doctor,advika.doctor023@rediffmail.com,0721594396,"80/15, Mani Nagar",Ramgarh,Karnataka,281287,India
24,Jayesh,Loyal,jayesh.loyal024@yahoo.in,4056201428,"97/90, Ganesh Nagar",Karaikudi,Odisha,737590,India
